query,intent,product_id
Do you deliver MOSHU Summer Womens Tank Tops U Neck Casual Flowy Sleeveless Shirts for Women to my home?,get_delivery_options,5219131585
Does Victorious Men's Skinny Fit Unwashed Raw Denim Jeans DL938 - Indigo - 32/30 come with a warranty?,get_warranty_info,871530694
"Do you have lightweight, all seasons, bedding here?",find_product_location,668480724
How long is the warranty on Amay 800TC Organic Cotton Alaska King Size Fitted Sheet ( 108X108 ) Fits Mattress Upto 12 -15 inches Light Blue Stripe?,get_warranty_info,3475370853
Is there a clearance section in this store?,check_clearance_section,
Where can I get some Stilettos?,find_product_location,485354607
"Do you carry different models of J. Adams Camila Sandals for Women, Square Open Toe Strappy Mid Block Heels, Elegant &amp; Comfortable, Perfect for Weddings?",check_variations,1017487270
Are there special discounts like military or student?,get_payment_options,
What is your return policy?,get_return_policy,
Is there a promotion for Disney Boys Graphic Tee Donald Duck Short Sleeves T-Shirt Top Summer Outfits Clothes Sizes 3-10T?,check_price_offer,5397071399
"Do you have activewear, fitness, high waist available?",check_stock,531529503
"Do you have casual shirt, mens apparel, clothing here?",find_product_location,5702523237
Can you tell me the restock date for Demotime Men's Polo Shirts Casual Button-Down Shirts Short Sleeve Polo Shirts Blue L V Neck T Shirts Big and Tall Golf Solid Classic Stylish Tops?,check_restock_status,5702523237
"Are there block heels, womens shoes, sandals left on the shelf?",check_stock,1017487270
Can I order JWD Womens Nightgown Short Sleeves Sleepwear Soft Loose Sleepshirt Scoopneck Pleated Nightshirt Loungewear online and pick it up here?,get_delivery_options,1892659971
Can I track my order for 100% Cotton King Percale Duvet Set (3 Piece) Blue Distress Tile Print by Simply Put?,get_delivery_options,161657830
"Is Rest Haven Upholstered Square Tufted Headboard, Full, Charcoal coming back in stock soon?",check_restock_status,293084792
"Do you have offset umbrella, outdoor, umbrella available?",check_stock,469036214
"Can I still buy WestinTrends Julia 10 Ft Outdoor Patio Cantilever Umbrella with Base Included, Market Hanging Offset Umbrella with 4-Pieces Fillable Base Weight, Coffee today?",check_stock,469036214
Is there a warranty for Amay 800TC Organic Cotton Alaska King Size Fitted Sheet ( 108X108 ) Fits Mattress Upto 12 -15 inches Light Blue Stripe?,get_warranty_info,3475370853
"Can I get extended warranty on Exclusivo Mezcla Waffle Textured Soft Fleece Blanket, King Size Bed Blanket, Cozy Warm and Lightweight (Dark Grey, 90x104 inches)?",get_warranty_info,1093743201
What is your return policy?,get_return_policy,
"Are there other colors available for SGI Bedding 16 Inch Wrap Around Bed Skirt | Microfiber Bed Skirt | Fade Resistant, Wrinkle Free, Anti-static, Decorative, Extra Storage Space, Clutter-Free | Queen, Light Gray?",check_variations,264801526
What is the price of Zenana Women & Plus Basic Cotton Relaxed Fit V-Neck Long Sleeve Plain Active Casual T-ShirtTop(S-3X)?,check_price_offer,896931395
Do you accept multiple payment methods?,get_payment_options,
Can I pay with a gift card?,get_payment_options,
Is there a clearance section in this store?,check_clearance_section,
Do you price match other retailers?,get_price_match_policy,
Do you price match other retailers?,get_price_match_policy,
"Is NELEUS Mens Running Tank Top Dry Fit Y-Back Athletic Workout Tank Tops 3 Pack,Purple+Pink+White,US Size L in stock?",check_stock,3795586746
How many Eyelash Enhancer do you have?,check_stock,908232424
How does your return window work?,get_return_policy,
Can I get extended warranty on LARACE Women's Tops Long Sleeve Dressy Casual Plus Size Tunic Tops to Wear with Leggings Loose T-Shirt Loose Fit Blouses NavyBlue 1X?,get_warranty_info,5041920521
"Can you tell me the restock date for NELEUS Mens Running Tank Top Dry Fit Y-Back Athletic Workout Tank Tops 3 Pack,Purple+Pink+White,US Size L?",check_restock_status,3795586746
Do you price match other retailers?,get_price_match_policy,
"Does Grande Cosmetics GrandeLash MD Eyelash Formula, 2mL (New Packaging) come with a warranty?",get_warranty_info,908232424
"Are there other colors available for Amay 800TC Organic Cotton Twin XL Size Fitted Sheet ( 39X80 ) Fits Mattress Upto 21 inches Deep Pocket, Ivory Solid?",check_variations,1612728569
Is there a promotion for Men's The Little Mermaid Vintage Characters  Graphic Tee Turquoise Medium?,check_price_offer,781490570
"Are there cosmetics, eye makeup, palette left on the shelf?",check_stock,411359040
Is price matching allowed?,get_price_match_policy,
Where is the clearance area?,check_clearance_section,
Is 100% Cotton King Percale Duvet Set (3 Piece) Blue Distress Tile Print by Simply Put in stock?,check_stock,161657830
"Are there pillow cover, throw pillow, cotton left on the shelf?",check_stock,891036133
Are there special discounts like military or student?,get_payment_options,
How does your return window work?,get_return_policy,
"Is Vulcanodon Mens Pajama Set 100% Cotton, Long Sleeve Button Down PJ Set for Men Plaid Men's Sleepwear(Red Blue-Plaid, Large) in stock?",check_stock,5155961106
"Which aisle is 16"" Handwoven Cotton Throw Pillow Cover with Tufted designs and Side Tassels in?",find_product_location,891036133
When do you expect more Womens Nightshirts & Gowns?,check_restock_status,1892659971
"When will Rest Haven Upholstered Square Tufted Headboard, Full, Charcoal be restocked?",check_restock_status,293084792
Is price matching allowed?,get_price_match_policy,
"Does X RAY JEANS Mens Five Pocket Commuter Pants, Fig, 34X32 come with a warranty?",get_warranty_info,1774083175
Do you provide shipping for Disney Boys Graphic Tee Donald Duck Short Sleeves T-Shirt Top Summer Outfits Clothes Sizes 3-10T?,get_delivery_options,5397071399
Where is the Men's Disney Tees section?,find_product_location,781490570
Is Ruimatai Women's Plus Size Elastic Waist Guipure Lace Hem Solid Shorts coming back in stock soon?,check_restock_status,640096014
Do you price match other retailers?,get_price_match_policy,
"Do you have personal care, hygiene, oral care here?",find_product_location,362341632
Do you price match other retailers?,get_price_match_policy,
When will Women's Vanity Fair 75201 Nearly Invisible Full Coverage Underwire Bra (Black 40C) be restocked?,check_restock_status,512809025
Can I get extended warranty on 100% Cotton King Percale Duvet Set (3 Piece) Blue Distress Tile Print by Simply Put?,get_warranty_info,161657830
Is price matching allowed?,get_price_match_policy,
When do you expect more Eyelash Enhancer?,check_restock_status,908232424
Do you have SONGMICS 3-Tier Shoe Rack with Shelves for Closet Entryway Black in a different size?,check_variations,2138573500
Is there a shipment incoming for UVN Sweatshirts for Women Square Neck Long Sleeve Shirts Casual Tunic Tops?,check_restock_status,5053396247
Where can I get some Tshirts for Women?,find_product_location,3813188391
Is there a clearance section in this store?,check_clearance_section,
Is there a promotion for Feather & Stitch 2 Piece Pillowcase Set Standard Size White 100% Cotton Damask Stripe Pillow Cases 500 Thread Count 20x30 Inches Ultra Soft Luxury Sateen Weave Bed Pillow Covers?,check_price_offer,1097677016
"Do you have shoe rack, entryway, home organization available?",check_stock,2138573500
Can you tell me about store clearance deals?,check_clearance_section,
"Are there pant set, sweatshirt, activewear left on the shelf?",check_stock,5702032013
Can I order TheLovely Women & Plus Front and Back Reversible Spaghetti Strap Flowy Cami Tank Tops online and pick it up here?,get_delivery_options,435835263
Where is the Floor Decor section?,find_product_location,904020893
When will UVN Sweatshirts for Women Square Neck Long Sleeve Shirts Casual Tunic Tops be restocked?,check_restock_status,5053396247
"When will Uvplove Women's Summer Loose Casual Short Sleeve Chiffon Top T-Shirt Blouse,Grey,M be restocked?",check_restock_status,5155882858
How many Beta Carotene do you have?,check_stock,179112912
Do you have MOSHU Summer Womens Tank Tops U Neck Casual Flowy Sleeveless Shirts for Women in a different size?,check_variations,5219131585
Can I pay with a gift card?,get_payment_options,
How much does Newborn Baby Girl Summer Clothes Ribbed Strap Romper Bodysuit + Drawstring Shorts Pink 18-24 Months cost?,check_price_offer,790957653
How does your return window work?,get_return_policy,
Do you deliver Amay Grommet Top Blackout Curtain Panel White 120 inch Wide by 120 inch Long-1 Panel to my home?,get_delivery_options,2200709686
Is price matching allowed?,get_price_match_policy,
When will Ruimatai Women's Plus Size Elastic Waist Guipure Lace Hem Solid Shorts be restocked?,check_restock_status,640096014
Can you tell me about store clearance deals?,check_clearance_section,
Do you carry different models of Jessica London Women's Plus Size Stretch Knit V-Neck Swing Tunic?,check_variations,6013308220
"Do you deliver Amay 100% Cotton 600-Thread Count 4-PCs Sheet Set Easily Fit upto 21 Inch Deep Pockets Solid California King, White to my home?",get_delivery_options,2785607950
Do you carry different models of LARACE Women's Tops Long Sleeve Dressy Casual Plus Size Tunic Tops to Wear with Leggings Loose T-Shirt Loose Fit Blouses NavyBlue 1X?,check_variations,5041920521
Is Amay Grommet Top Blackout Curtain Panel White 120 inch Wide by 120 inch Long-1 Panel coming back in stock soon?,check_restock_status,2200709686
Is price matching allowed?,get_price_match_policy,
"Is there a promotion for NELEUS Mens Running Tank Top Dry Fit Y-Back Athletic Workout Tank Tops 3 Pack,Purple+Pink+White,US Size L?",check_price_offer,3795586746
"Is there a shipment incoming for Simply Silver Mint Breath Spray - For Dry Mouth and Freshening, All Natural, Fluoride Free, 2 Fl Oz?",check_restock_status,362341632
Do you accept multiple payment methods?,get_payment_options,
Do you price match other retailers?,get_price_match_policy,
"Do you have whole bean, decaf, pantry here?",find_product_location,306465658
What is the warranty coverage for LARACE Women's Tops Long Sleeve Dressy Casual Plus Size Tunic Tops to Wear with Leggings Loose T-Shirt Loose Fit Blouses NavyBlue 1X?,get_warranty_info,5041920521
Can I get extended warranty on Casual Nights Women's Zipper Front House Dress Sleeveless Seersucker Housecoat Duster Lounger?,get_warranty_info,831123723
"Do you provide shipping for Grande Cosmetics GrandeLash MD Eyelash Formula, 2mL (New Packaging)?",get_delivery_options,908232424
Is there a warranty for Amay Grommet Top Blackout Curtain Panel White 120 inch Wide by 120 inch Long-1 Panel?,get_warranty_info,2200709686
What is your return policy?,get_return_policy,
"Do you have breath rinse, oral care, personal care here?",find_product_location,5062553620
Is LARACE Women's Plus Size Tops 3/4 Sleeve Tunic Shirts Casual Button V-neck Blouse Black 4X coming back in stock soon?,check_restock_status,2150292673
Where can I get some Workout Leggings?,find_product_location,531529503
How many Mens Rings do you have?,check_stock,5809585615
Are there special discounts like military or student?,get_payment_options,
How many Womens Nightshirts & Gowns do you have?,check_stock,5164703747
"Can I get extended warranty on J. Adams Camila Sandals for Women, Square Open Toe Strappy Mid Block Heels, Elegant &amp; Comfortable, Perfect for Weddings?",get_warranty_info,1017487270
"Do you have Bare Home Cozy Fleece Sheet Set - Extra Plush Polar Fleece - Deep Pocket - Split King, Black in a different size?",check_variations,5292666872
How long is the warranty on Victorious Men's Skinny Fit Unwashed Raw Denim Jeans DL938 - Indigo - 32/30?,get_warranty_info,871530694
Are there special discounts like military or student?,get_payment_options,
Can you tell me about store clearance deals?,check_clearance_section,
Is price matching allowed?,get_price_match_policy,
Where can I get some Full Bases?,find_product_location,469036214
Do you have Hanes Long Sleeve Men T-Shirt 2-Pack Beefy-T Crewneck Soft Cotton Full Cut S-3XL in a different size?,check_variations,102593173
Is there a promotion for Hanes Long Sleeve Men T-Shirt 2-Pack Beefy-T Crewneck Soft Cotton Full Cut S-3XL?,check_price_offer,102593173
Where is the Plus Size Tops section?,find_product_location,5041920521
When do you expect more Plus Size Tops?,check_restock_status,5041920521
What is the price of Casual Nights Women's Zipper Front House Dress Sleeveless Seersucker Housecoat Duster Lounger?,check_price_offer,831123723
Where can I get some Shoe Racks?,find_product_location,2138573500
"Can you tell me the restock date for FindChic Men Triple Moon Ring Goddess Fidget Ring,Balck Stress Relief Rotatable Anxiety Ring Size 7 to 14,Send Gift Box?",check_restock_status,3922793394
Where can I get some Shop All Bar Stools & Counter Stools?,find_product_location,2834781358
Can I pay with a gift card?,get_payment_options,
Do you accept multiple payment methods?,get_payment_options,
Where is the clearance area?,check_clearance_section,
Can you tell me about store clearance deals?,check_clearance_section,
Are there special discounts like military or student?,get_payment_options,
"Can you tell me the restock date for WestinTrends Julia 10 Ft Outdoor Patio Cantilever Umbrella with Base Included, Market Hanging Offset Umbrella with 4-Pieces Fillable Base Weight, Coffee?",check_restock_status,469036214
"Do you have antioxidant, health, immune support here?",find_product_location,179112912
Is Men's The Little Mermaid Vintage Characters  Graphic Tee Turquoise Medium in stock?,check_stock,781490570
Are there special discounts like military or student?,get_payment_options,
"Is there a shipment incoming for SGI Bedding 16 Inch Wrap Around Bed Skirt | Microfiber Bed Skirt | Fade Resistant, Wrinkle Free, Anti-static, Decorative, Extra Storage Space, Clutter-Free | Queen, Light Gray?",check_restock_status,264801526
Is IBTOM CASTLE Women's One Piece Rash Guard Swimsuit UV Protection Floral Printed Surfing Zipper Swimwear Bathing Suit Beachwear S Green Leaves coming back in stock soon?,check_restock_status,2749504314
Is there a shipment incoming for Hanes Long Sleeve Men T-Shirt 2-Pack Beefy-T Crewneck Soft Cotton Full Cut S-3XL?,check_restock_status,102593173
"Can I get VOUA Electric Heated Mattress Pad, White King in other sizes or colors?",check_variations,1727244137
"Does Exultantex Grey Blackout Curtains for Living Room,Pom Pom Thermal Window Curtains,50""W x 95""L, 2 Panels, Rod Pocket come with a warranty?",get_warranty_info,430528189
Where is the clearance area?,check_clearance_section,
"Is there a promotion for J. Adams Camila Sandals for Women, Square Open Toe Strappy Mid Block Heels, Elegant &amp; Comfortable, Perfect for Weddings?",check_price_offer,1017487270
"Can I get FY24 Valentine's Day Holiday Deals! itsun Lingerie Sets for Women Sexy Plus Size, Women Sexy Lace Lingerie Set Strappy Bra and Panty Set Two Piece Crotchless Lingerie White in other sizes or colors?",check_variations,1507001378
How does your return window work?,get_return_policy,
"Are there activewear, high waist, leggings left on the shelf?",check_stock,1341833689
"How long is the warranty on Vulcanodon Mens Pajama Set 100% Cotton, Long Sleeve Button Down PJ Set for Men Plaid Men's Sleepwear(Red Blue-Plaid, Large)?",get_warranty_info,5155961106
Is the LifeStride Womens Suki Pumps - Medium & Wide Width on sale right now?,check_price_offer,485354607
Is there a promotion for Demotime Men's Polo Shirts Casual Button-Down Shirts Short Sleeve Polo Shirts Blue L V Neck T Shirts Big and Tall Golf Solid Classic Stylish Tops?,check_price_offer,5702523237
When do you expect more Block Heels?,check_restock_status,1017487270
"Is Vulcanodon Mens Pajama Set 100% Cotton, Long Sleeve Button Down PJ Set for Men Plaid Men's Sleepwear(Red Blue-Plaid, Large) coming back in stock soon?",check_restock_status,5155961106
Is home delivery available for Newborn Baby Girl Summer Clothes Ribbed Strap Romper Bodysuit + Drawstring Shorts Pink 18-24 Months?,get_delivery_options,790957653
Is price matching allowed?,get_price_match_policy,
Can I return items without receipts?,get_return_policy,
Is price matching allowed?,get_price_match_policy,
Can I return items without receipts?,get_return_policy,
Can I return items without receipts?,get_return_policy,
"How long is the warranty on X RAY JEANS Mens Five Pocket Commuter Pants, Fig, 34X32?",get_warranty_info,1774083175
"Can you tell me the restock date for Exclusivo Mezcla Bed Quilt Set Twin Size for All Seasons, Stitched Pattern Quilted Bedspread/ Bedding Set/ Coverlet with 1 Pillow sham, Lightweight and Soft, Turquoise?",check_restock_status,668480724
"Do you have immune support, health, eye health available?",check_stock,179112912
"Can I track my order for X RAY JEANS Mens Five Pocket Commuter Pants, Fig, 34X32?",get_delivery_options,1774083175
Are there special discounts like military or student?,get_payment_options,
"Can I still buy Scoop Women’s V-Neck Top with Volume Sleeves, Sizes XS-XXL today?",check_stock,5291664103
Can I return items without receipts?,get_return_policy,
"Can you tell me the restock date for J. Adams Camila Sandals for Women, Square Open Toe Strappy Mid Block Heels, Elegant &amp; Comfortable, Perfect for Weddings?",check_restock_status,1017487270
Where is the Beta Carotene section?,find_product_location,179112912
Do you carry different models of Demotime Men's Polo Shirts Casual Button-Down Shirts Short Sleeve Polo Shirts Blue L V Neck T Shirts Big and Tall Golf Solid Classic Stylish Tops?,check_variations,5702523237
"Do you have mens activewear, tank top, workout shirt here?",find_product_location,3795586746
Do you provide shipping for FaithHeart Nordic Viking Vegvisir Pirate Compass Ring for Men Solid Rune Band Rings Black Stainless Steel Jewelry Punk Valknut Protection Amulet Gift for Rappers Size 7?,get_delivery_options,5809585615
Is the Zenana Womens & Plus Stretch Cotton Foldover Waist Bootcut Workout Yoga Pants on sale right now?,check_price_offer,1897403279
"Is home delivery available for AUSTUFF Swivel Bar Stools Set of 2 Velvet Barstools for Kitchen Island (30"", Blue)?",get_delivery_options,2834781358
Where is the Twin Sheets section?,find_product_location,6126862324
Do you provide shipping for Laura Mercier Caviar Stick Eye Color Sugar Frost 1.64g/0.05oz?,get_delivery_options,173530386
Where can I get some Womens Blouses?,find_product_location,5155882858
Can I get extended warranty on Demotime Men's Polo Shirts Casual Button-Down Shirts Short Sleeve Polo Shirts Blue L V Neck T Shirts Big and Tall Golf Solid Classic Stylish Tops?,get_warranty_info,5702523237
"Are there any discounts on mens fashion, disney, mens apparel?",check_price_offer,781490570
What's your price matching policy?,get_price_match_policy,
Is there a warranty for Ecetana Womens Walking Shoes Lightweight Breathable Mesh Air Cushion Sneakers?,get_warranty_info,283514640
"Are there alternatives to VOUA Electric Heated Mattress Pad, White King?",check_variations,1727244137
"Can I order 16"" Handwoven Cotton Throw Pillow Cover with Tufted designs and Side Tassels online and pick it up here?",get_delivery_options,891036133
"Are there bed linens, bedding, green sheets left on the shelf?",check_stock,602315286
Can you tell me about store clearance deals?,check_clearance_section,
Can I return items without receipts?,get_return_policy,
What is your return policy?,get_return_policy,
"What is the price of Vulcanodon Mens Pajama Set 100% Cotton, Long Sleeve Button Down PJ Set for Men Plaid Men's Sleepwear(Red Blue-Plaid, Large)?",check_price_offer,5155961106
"Is Women & Plus Cotton High Waist Full Length Cotton Workout Leggings (BLACK/CHARCOAL, M) coming back in stock soon?",check_restock_status,531529503
Where can I get some Adult Electric Scooters?,find_product_location,5439347407
Can I return items without receipts?,get_return_policy,
Do you provide shipping for Anastasia Beverly Hills Norvina PRO Pigment Eyeshadow Palette Vol 3?,get_delivery_options,411359040
"What is the warranty coverage for Uvplove Women's Summer Loose Casual Short Sleeve Chiffon Top T-Shirt Blouse,Grey,M?",get_warranty_info,5155882858
"Do you deliver Grande Cosmetics GrandeLash MD Eyelash Formula, 2mL (New Packaging) to my home?",get_delivery_options,908232424
How many Mens Workout Shirts do you have?,check_stock,102593173
Do you deliver LifeStride Womens Suki Pumps - Medium & Wide Width to my home?,get_delivery_options,485354607
Can I get Zenana Women & Plus Basic Cotton Relaxed Fit V-Neck Long Sleeve Plain Active Casual T-ShirtTop(S-3X) in other sizes or colors?,check_variations,896931395
How many Plus Size Tops do you have?,check_stock,2150292673
Does Amay Grommet Top Blackout Curtain Panel White 120 inch Wide by 120 inch Long-1 Panel come with a warranty?,get_warranty_info,2200709686
What is the price of Amay 800TC Organic Cotton Alaska King Size Fitted Sheet ( 108X108 ) Fits Mattress Upto 12 -15 inches Light Blue Stripe?,check_price_offer,3475370853
How long is the warranty on IBTOM CASTLE Women's One Piece Rash Guard Swimsuit UV Protection Floral Printed Surfing Zipper Swimwear Bathing Suit Beachwear S Green Leaves?,get_warranty_info,2749504314
Is price matching allowed?,get_price_match_policy,
"Do you have cycling pants, loungewear, plus size here?",find_product_location,1897403279
When do you expect more Men's Disney Tees?,check_restock_status,781490570
"Where can I find Solaray Food Carotene, Vitamin A as Beta Carotene 25000IU | Carotenoids for Healthy Skin &amp; Eyes, Antioxidant Activity &amp; Immune System Support | 200ct?",find_product_location,179112912
What is your return policy?,get_return_policy,
Is there a warranty for Women's Vanity Fair 75201 Nearly Invisible Full Coverage Underwire Bra (Black 40C)?,get_warranty_info,512809025
What's your price matching policy?,get_price_match_policy,
"Is Fresh Roasted Coffee, Indian Monsoon Water Decaf Coffee, Medium-Dark Roast Whole Bean, 80 oz in stock?",check_stock,306465658
"What is the warranty coverage for Caroma Electric Scooter for Adult, 30Miles Range&amp;20Mph Power by 20""Off-Road Tire&amp;Height Adjustable Seat, Foldable Scooter E Bike for Mountains, Snow, Road, Black?",get_warranty_info,5439347407
Can you tell me about store clearance deals?,check_clearance_section,
"What is the warranty coverage for Rest Haven Upholstered Square Tufted Headboard, Full, Charcoal?",get_warranty_info,293084792
Can I get a.Jesdani Women's Cardigan Classic Casual Lightweight Knit Cardigan Sweaters S-XXL in other sizes or colors?,check_variations,5184785010
"Do you have knit top, fashion, v-neck here?",find_product_location,6013308220
"Are there other colors available for J. Adams Camila Sandals for Women, Square Open Toe Strappy Mid Block Heels, Elegant &amp; Comfortable, Perfect for Weddings?",check_variations,1017487270
Do you have Zenana Women & Plus Basic Cotton Relaxed Fit V-Neck Long Sleeve Plain Active Casual T-ShirtTop(S-3X) in a different size?,check_variations,896931395
"Are there other colors available for WestinTrends Julia 10 Ft Outdoor Patio Cantilever Umbrella with Base Included, Market Hanging Offset Umbrella with 4-Pieces Fillable Base Weight, Coffee?",check_variations,469036214
"Is home delivery available for Solaray Food Carotene, Vitamin A as Beta Carotene 25000IU | Carotenoids for Healthy Skin &amp; Eyes, Antioxidant Activity &amp; Immune System Support | 200ct?",get_delivery_options,179112912
Can you tell me the restock date for Anastasia Beverly Hills Norvina PRO Pigment Eyeshadow Palette Vol 3?,check_restock_status,411359040
Do you price match other retailers?,get_price_match_policy,
"Which aisle is Mellanni Sheet Set Hotel Luxury Brushed Microfiber, Deep Pocket Sheet, 3 Piece Twin Ivory in?",find_product_location,6126862324
"Can you tell me the restock date for SGI Bedding 16 Inch Wrap Around Bed Skirt | Microfiber Bed Skirt | Fade Resistant, Wrinkle Free, Anti-static, Decorative, Extra Storage Space, Clutter-Free | Queen, Light Gray?",check_restock_status,264801526
Are there other colors available for JWD Womens Nightgown Short Sleeves Sleepwear Soft Loose Sleepshirt Scoopneck Pleated Nightshirt Loungewear?,check_variations,1892659971
Do you carry different models of UVN Sweatshirts for Women Square Neck Long Sleeve Shirts Casual Tunic Tops?,check_variations,5053396247
"Is the Rest Haven Upholstered Square Tufted Headboard, Full, Charcoal on sale right now?",check_price_offer,293084792
Are there special discounts like military or student?,get_payment_options,
Is price matching allowed?,get_price_match_policy,
"How long is the warranty on 4th of July Women’s Lounger Sleepshirt by Way To Celebrate, Sizes S to 3X?",get_warranty_info,5164703747
"Are there womens rings, anxiety ring, gift left on the shelf?",check_stock,3922793394
How long is the warranty on Zenana Womens & Plus Stretch Cotton Foldover Waist Bootcut Workout Yoga Pants?,get_warranty_info,1897403279
How much does Roaman's Women's Plus Size Tall Complete Cotton Seamed Jean cost?,check_price_offer,1359948905
Are there special discounts like military or student?,get_payment_options,
Is LifeStride Womens Suki Pumps - Medium & Wide Width coming back in stock soon?,check_restock_status,485354607
Can I still buy Georgia Giant Work Boot Size 10.5(W) today?,check_stock,17245067
"How much does Caroma Electric Scooter for Adult, 30Miles Range&amp;20Mph Power by 20""Off-Road Tire&amp;Height Adjustable Seat, Foldable Scooter E Bike for Mountains, Snow, Road, Black cost?",check_price_offer,5439347407
"Which aisle is Exclusivo Mezcla Waffle Textured Soft Fleece Blanket, King Size Bed Blanket, Cozy Warm and Lightweight (Dark Grey, 90x104 inches) in?",find_product_location,1093743201
"Where can I find Uvplove Women's Summer Loose Casual Short Sleeve Chiffon Top T-Shirt Blouse,Grey,M?",find_product_location,5155882858
How long is the warranty on Laura Mercier Caviar Stick Eye Color Sugar Frost 1.64g/0.05oz?,get_warranty_info,173530386
"Can you tell me the restock date for Fresh Roasted Coffee, Indian Monsoon Water Decaf Coffee, Medium-Dark Roast Whole Bean, 80 oz?",check_restock_status,306465658
Do you price match other retailers?,get_price_match_policy,
Is there a clearance section in this store?,check_clearance_section,
Is there a promotion for Zenana Womens & Plus Stretch Cotton Foldover Waist Bootcut Workout Yoga Pants?,check_price_offer,1897403279
Where is the clearance area?,check_clearance_section,
"Can I get WestinTrends Julia 10 Ft Outdoor Patio Cantilever Umbrella with Base Included, Market Hanging Offset Umbrella with 4-Pieces Fillable Base Weight, Coffee in other sizes or colors?",check_variations,469036214
Can you tell me about store clearance deals?,check_clearance_section,
Where is the clearance area?,check_clearance_section,
"Is there a warranty for Women & Plus Cotton High Waist Full Length Cotton Workout Leggings (BLACK/CHARCOAL, M)?",get_warranty_info,531529503
"Are there other colors available for Grande Cosmetics GrandeLash MD Eyelash Formula, 2mL (New Packaging)?",check_variations,908232424
"Is there a shipment incoming for Bare Home Cozy Fleece Sheet Set - Extra Plush Polar Fleece - Deep Pocket - Split King, Black?",check_restock_status,5292666872
"Do you have Exultantex Grey Blackout Curtains for Living Room,Pom Pom Thermal Window Curtains,50""W x 95""L, 2 Panels, Rod Pocket in a different size?",check_variations,430528189
Can I track my order for Jessica London Women's Plus Size Stretch Knit V-Neck Swing Tunic?,get_delivery_options,6013308220
"Is AUSTUFF Swivel Bar Stools Set of 2 Velvet Barstools for Kitchen Island (30"", Blue) in stock?",check_stock,2834781358
"Do you have sweatshirt, pant set, womens fashion available?",check_stock,5702032013
Do you have JWD Womens Nightgown Short Sleeves Sleepwear Soft Loose Sleepshirt Scoopneck Pleated Nightshirt Loungewear in a different size?,check_variations,1892659971
Is home delivery available for Men's The Little Mermaid Vintage Characters  Graphic Tee Turquoise Medium?,get_delivery_options,781490570
"Are there leggings, womens activewear, high waist left on the shelf?",check_stock,531529503
Can you tell me about store clearance deals?,check_clearance_section,
What is your return policy?,get_return_policy,
"Do you have square neck, casual, fall fashion available?",check_stock,5053396247
What's your price matching policy?,get_price_match_policy,
Does Anastasia Beverly Hills Norvina PRO Pigment Eyeshadow Palette Vol 3 come with a warranty?,get_warranty_info,411359040
Can I return items without receipts?,get_return_policy,
"Do you have womens shoes, footwear, flats available?",check_stock,944207748
Do you price match other retailers?,get_price_match_policy,
